Index,Epoch Info,Loss
762,1-16950/20565,3.2789
763,1-17000/20565,3.2259
764,1-17050/20565,2.7420
765,1-17100/20565,3.7093
766,1-17150/20565,3.7188
767,1-17200/20565,3.9528
768,1-17250/20565,2.8157
769,1-17300/20565,2.7915
770,1-17350/20565,3.2443
771,1-17400/20565,3.7364
772,1-17450/20565,3.6916
773,1-17500/20565,3.3393
774,1-17550/20565,3.6401
775,1-17600/20565,3.6635
776,1-17650/20565,3.4656
777,1-17700/20565,2.7466
778,1-17750/20565,3.4072
779,1-17800/20565,3.9240
780,1-17850/20565,3.0111
781,1-17900/20565,3.1944
782,1-17950/20565,3.3053
783,1-18000/20565,3.4829
784,1-18050/20565,2.5095
785,1-18100/20565,3.2245
786,1-18150/20565,4.3556
787,1-18200/20565,3.3279
788,1-18250/20565,3.8195
789,1-18300/20565,2.2373
790,1-18350/20565,2.7326
791,1-18400/20565,3.7807
792,1-18450/20565,3.8726
793,1-18500/20565,3.4400
794,1-18550/20565,2.8276
795,1-18600/20565,4.7805
796,1-18650/20565,2.5105
797,1-18700/20565,3.6898
798,1-18750/20565,4.1234
799,1-18800/20565,3.1898
800,1-18850/20565,2.5622
801,1-18900/20565,3.5427
802,1-18950/20565,3.3691
803,1-19000/20565,2.7516
804,1-19050/20565,3.4388
805,1-19100/20565,2.5091
806,1-19150/20565,2.7390
807,1-19200/20565,3.8180
808,1-19250/20565,2.8816
809,1-19300/20565,3.0073
810,1-19350/20565,4.4945
811,1-19400/20565,3.5910
812,1-19450/20565,2.9793
813,1-19500/20565,4.5687
814,1-19550/20565,3.7427
815,1-19600/20565,2.5296
816,1-19650/20565,4.1801
817,1-19700/20565,3.4360
818,1-19750/20565,2.6084
819,1-19800/20565,3.9038
820,1-19850/20565,2.6228
821,1-19900/20565,2.8916
822,1-19950/20565,3.9975
823,1-20000/20565,2.9660
824,1-20050/20565,2.8680
825,1-20100/20565,4.1522
826,1-20150/20565,3.8692
827,1-20200/20565,3.2374
828,1-20250/20565,2.8002
829,1-20300/20565,3.3260
830,1-20350/20565,2.6337
831,1-20400/20565,3.3289
832,1-20450/20565,2.9835
833,1-20500/20565,3.7103
834,1-20550/20565,3.9003
835,1-20564/20565,2.4203
844,2-0/20565,3.5431
847,2-50/20565,3.5246
848,2-100/20565,3.8082
849,2-150/20565,3.5631
850,2-200/20565,3.1120
851,2-250/20565,3.3682
852,2-300/20565,3.5582
853,2-350/20565,4.6747
854,2-400/20565,2.6109
855,2-450/20565,3.7168
856,2-500/20565,4.4896
857,2-550/20565,2.7817
858,2-600/20565,3.5997
859,2-650/20565,2.6697
860,2-700/20565,3.7796
861,2-750/20565,2.8551
862,2-800/20565,3.0166
863,2-850/20565,2.4105
864,2-900/20565,3.6241
865,2-950/20565,3.1517
866,2-1000/20565,3.5139
867,2-1050/20565,2.9354
868,2-1100/20565,3.2707
869,2-1150/20565,3.6339
870,2-1200/20565,3.5441
871,2-1250/20565,2.6784
872,2-1300/20565,2.9684
873,2-1350/20565,3.4059
874,2-1400/20565,2.6017
875,2-1450/20565,3.9697
876,2-1500/20565,3.6838
877,2-1550/20565,3.1152
878,2-1600/20565,3.6329
879,2-1650/20565,2.0641
880,2-1700/20565,3.2402
881,2-1750/20565,3.2365
882,2-1800/20565,3.0238
883,2-1850/20565,3.4754
884,2-1900/20565,3.9524
885,2-1950/20565,2.5839
886,2-2000/20565,2.8147
887,2-2050/20565,3.2442
888,2-2100/20565,3.0586
889,2-2150/20565,2.6176
890,2-2200/20565,2.8651
891,2-2250/20565,3.3179
892,2-2300/20565,3.8317
893,2-2350/20565,3.6004
